,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,12659409,12504410,12606437,13322400,14566555,16357349,16802438,15314534,12822131,12097385,12462615,13984141,14695182,15887282,17179486,18343996,19588730,21166845
1," ""37001""","Alamance, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,182838,178800,186509,208000,198379,208439,217102,197029,172762,172709,169696,187335,196337,199950,204352,207793,222569,230637
2," ""37003""","Alexander, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,23466,23428,24995,25601,25908,(D),(D),23673,23875,26313,26883,29302,26922,26326,25308,25007,26529,25905
3," ""37005""","Alleghany, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,12834,12183,12072,14100,14874,17100,19077,18500,16788,15792,15167,15363,13656,13394,14908,18222,18492,19664
4," ""37007""","Anson, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,14820,19403,14986,13904,17008,16700,15287,15818,14191,15228,14199,13591,12173,12223,14414,15155,16984,18737
5," ""37009""","Ashe, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,43525,42696,43449,47020,49432,59609,61323,58039,51413,52400,49883,55135,50371,56209,56841,63106,62353,64182
6," ""37011""","Avery, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,29563,30699,32438,34867,39529,44178,47037,43839,37616,33825,29615,30994,29478,30515,30508,28197,28378,32259
7," ""37013""","Beaufort, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,44010,51115,46413,40230,50515,55359,59290,49849,47058,43038,41385,48161,54123,51894,46873,42995,46656,48557
8," ""37015""","Bertie, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,7009,7420,(D),(D),14167,(D),10015,8519,8099,6698,7123,6388,5389,4847,5344,(D),(D),(D)
9," ""37017""","Bladen, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,13219,11496,12151,12493,11713,14490,16821,18114,16756,18681,18572,18322,17531,19370,20692,21465,20566,21563
10," ""37019""","Brunswick, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,141900,142484,172101,227621,300344,323003,263765,161141,101983,77252,78085,75352,107085,135500,169029,202693,244437,250865
11," ""37021""","Buncombe, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,374841,370134,359243,400794,435185,468139,486880,445109,384870,365330,357367,377429,348820,392983,448998,476936,525454,615641
12," ""37023""","Burke, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,60966,56080,54262,54421,52556,58897,60307,59612,52415,51793,50643,54818,52664,53707,55209,57043,58540,64918
13," ""37025""","Cabarrus, NC",5.0,CAINC5N,400.0,23,   Construction,Thousands of dollars,223159,221043,217776,233214,249164,268862,295384,264536,213402,188532,185286,214360,241478,268206,291247,315045,326559,347446
