	Name of Organization	Contact Name	Address	City	State	Address (2)	City (2)	State (2)	GEOFIPS	Zip code	Contact Info	County	Industry	Industry (2nd)	Industry (3rd)	Value Network	Value Network (2nd)	Value Network (3rd)	Business Category	Business Category (2nd)	Business Category (3rd)	# of Employees	Products	Top Three ingredients	Affiliation 	Website	Various Add on	Opening Date	Over Ten Years Running	Economic_Measure_Code
0	The Pizza Shop & Dry County Brewing Company		585 Oak Ave.	Spruce Pine	NC				37121.0	28777						Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0						40848		WCUR_REAS_NP00
1	12 Bones South Brewery		2350 Hendersonville Rd.	Asheville	NC				37021.0	28704	828-687-1395	Buncombe 	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage		www.12bones.com	Multiple location Barbeque Restaurant	0		WCUR_REAS_NP00
2	7 Clans Brewing Company		Qualla Boundary	Cherokee	NC				37099.0	28719	828-246-3005	Jackson	Contract Brewery			Processing and Wholesale Distribution			Tourism			0	Craft Beer	Craft beverage		http://7clansbrewing.com/	Contract brewery--Contracts with Bear Waters Brewing	0		WCUR_REAS_NP00
3	Accelerating Appalachia	Sara Day Evans	Online							28801	828-216-9416		Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Nature based business growth and development	Training, counseling, networking		https://www.acceleratingappalachia.org/	committed to people, place, and prosperity, in balance with nature	0		WCUR_REAS_NP00
4	Adelaide Spa at the Crowne Plaza		27 Resort Dr.	Asheville	NC				37021.0	28806	828-575-2196	Buncombe 	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Spa treatments and products	Day spa		www.adelaidespaandsalon.com	Tennis and Golf Resort	0		WCUR_REAS_NP00
5	Adoratherapy Inc	Adora Windquest	10 Tingle Alley	Asheville	NC				37021.0	28801	877-840-4242	Buncombe 	Personal Products			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	Essential oils/ Classes/ Custom blends	essential oils		https://adoratherapy.com/contacts	Educational classes and workshops on blending and formulating essential oils 	0		WCUR_REAS_NP00
6	Alchemy Asheville Apothecary		62 Clayton St.	Asheville	NC				37021.0	28801	828-575-9419	Buncombe 	Medical			End Consumer Distribution			Personal and Health Care			0	 Apothecary and tea room	Chinese Medicine		www.alchemyasheville.com	Tea Room and Sanctuary	0		WCUR_REAS_NP00
7	Ambrozia Bar & Bistro	Sam Etheridge	1020 Merrimon Ave.	Asheville	NC				37021.0	28804	828-350-3033	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Local produce, wild herbs and meats	Local Food Guide	http://www.ambrozia-avl.com	Using local farm produce and meats to enhance menu options	0		WCUR_REAS_NP00
8	American Herbalist Guild		125 S Lexington Ave., #101A	Asheville	NC				37021.0	28801		Buncombe	Guild			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Herbalist Guild-association of herbal practitioners	networking, education and advice		http://www.americanherbalistsguild.com/		0		WCUR_REAS_NP00
9	Andrews Brewing Company		565 Aquone Rd.	Andrews	NC				37039.0	28901	828-321-2006	Cherokee	Brewery			Processing and Wholesale Distribution			Tourism			0	Craft Beer	Craft beverage		www.andrewsbrewing.com	Tourism focused with outdoor patio	41275		WCUR_REAS_NP00
10	Annie's Bakery	Joe Ritota	128 Bingham Rd., Suite 300 	Asheville	NC				37021.0	28806	828-505-8350	Buncombe	Food Product			Processing and Wholesale Distribution			Food Manufacturing and Packaging			0	Artisan Bread Wholesale	Breads		http://www.anniesbread.com/	Free of additives and preservatives	0		WCUR_REAS_NP00
11	Appalachian Beginning Forest Farmer Coalition	Margaret Bloomquist          Jeanine Davis	455 Research Dr.	Mills River	NC				37089.0	28759	828-684-3562	Henderson	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Technical Assistance, Educational Institutions, and Support Pr	Education and support services		https://www.appalachianforestfarmers.org/	The coalition hopes to establish an inclusive Appalachian Beginning Forest Farmer Coalition; educate, train, and support beginning forest farmers; and improve forest farm inventory and medicinal plant habitat management services for beginning forest farmers.	0		WCUR_REAS_NP00
12	Appalachian Botanical Association	Amy Hamilton	Online							0			Cooperative			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Cooperative of Raw Materials to broker high quality herbs			http://www.aba-coop.com/	The Appalachian Botanical Alliance (ABA) is a cooperative of Raw Materials whose mission is to provide a consistent, high quality supply of Appalachian grown herbs and to encourage the economic livelihood of cooperative members.	0		WCUR_REAS_NP00
13	Appalachian Natural Soap	Victor Taylor	21 Wall St.	Asheville	NC				37021.0	28801	828-665-0810	Buncombe	Personal Products			End Consumer Distribution			Home and Garden			0	Personal Products	Soap, moisturizer, lotions		http://www.appalachiannaturalsoap.com		0		WCUR_REAS_NP00
